file,elut_time,integral,
0.02 M - Additive 01-07.dx,0.709,66564373.18,6%
0.02 M - Additive 01-07.dx,2.523,1053600697,100%
0.02 M - Additive 01-07.dx,2.638,19536513.15,2%
0.02 M - Additive 01-07.dx,3.049,44720615.05,4%
0.02 M - Additive 01-07.dx,3.408,324371178.5,31%
0.02 M - Additive 02-11.dx,2.524,1040809575,10%
0.02 M - Additive 02-11.dx,2.887,10309800752,100%
0.02 M - Additive 03-15.dx,0.708,62360657.3,5%
0.02 M - Additive 03-15.dx,2.524,1044991871,83%
0.02 M - Additive 03-15.dx,2.665,1255378547,100%
0.02 M - Additive 03-15.dx,2.888,44283142.97,4%
0.02 M - Additive 03-15.dx,3.049,40784705.83,3%
0.02 M - Additive 04-19.dx,0.709,64436469.02,
0.02 M - Additive 04-19.dx,1.664,4222400694,
0.02 M - Additive 04-19.dx,1.799,86635563.65,
0.02 M - Additive 04-19.dx,2.524,1047335922,
0.02 M - Additive 04-19.dx,3.049,42776459.13,
0.02 M - Additive 06-23.dx,2.48,3378075220,
0.02 M - Additive 06-23.dx,2.523,1221835925,
0.02 M - Additive 06-23.dx,3.049,42941190.75,
0.02 M - Additive 09-27.dx,0.722,72712890.43,
0.02 M - Additive 09-27.dx,1.716,2482583087,
0.02 M - Additive 09-27.dx,1.833,57963210.36,
0.02 M - Additive 09-27.dx,2.523,1051950874,
0.02 M - Additive 09-27.dx,2.638,19029222.11,
0.02 M - Additive 09-27.dx,3.049,43520390.57,
0.02 M - Additive 10-31.dx,1.715,1494065023,
0.02 M - Additive 10-31.dx,2.005,10527308179,
0.02 M - Additive 10-31.dx,2.077,355388616.9,
0.02 M - Additive 10-31.dx,2.523,1044796380,
0.02 M - Additive 11-35.dx,0.709,62755939.15,
0.02 M - Additive 11-35.dx,1.715,46718138.56,
0.02 M - Additive 11-35.dx,2.411,2392609226,
0.02 M - Additive 11-35.dx,2.523,1053182860,
0.02 M - Additive 11-35.dx,2.638,18183581.32,
0.02 M - Additive 11-35.dx,3.049,43256780.57,
0.02 M - Additive 12-39.dx,0.709,62421970.99,
0.02 M - Additive 12-39.dx,2.523,1036501480,
0.02 M - Additive 12-39.dx,2.638,16863703.57,
0.02 M - Additive 12-39.dx,3.048,40538172.62,
0.02 M - Additive 12-39.dx,3.19,2524769407,
0.02 M - Additive 12-39.dx,3.495,12271348.62,
0.02 M - Additive 13-43.dx,0.727,1410177283,
0.02 M - Additive 13-43.dx,0.752,1075297870,
0.02 M - Additive 13-43.dx,1.369,33082386.54,
0.02 M - Additive 13-43.dx,1.57,20892334.03,
0.02 M - Additive 13-43.dx,2.523,1045175655,
0.02 M - Additive 13-43.dx,2.638,18980244.06,
0.02 M - Additive 13-43.dx,3.049,43244146.37,
0.02 M - Additive 15-47.dx,0.722,54781948.37,
0.02 M - Additive 15-47.dx,0.823,3415574064,
0.02 M - Additive 15-47.dx,1.043,214243095.9,
0.02 M - Additive 15-47.dx,1.472,51208006.64,
0.02 M - Additive 15-47.dx,2.523,1046882269,
0.02 M - Additive 15-47.dx,3.049,44332523.74,
0.02 M - Additive 16-51.dx,2.078,8273812251,
0.02 M - Additive 16-51.dx,2.14,311664611.6,
0.02 M - Additive 16-51.dx,2.523,1043157298,
0.02 M - Additive 16-55.dx,2.08,8682429664,
0.02 M - Additive 16-55.dx,2.14,337925928.5,
0.02 M - Additive 16-55.dx,2.524,1036572554,
0.02 M - Additive 18-59.dx,0.663,486337973.1,
0.02 M - Additive 18-59.dx,0.709,74888637.93,
0.02 M - Additive 18-59.dx,2.524,1024688887,
0.02 M - Additive 18-59.dx,2.639,18886113.5,
0.02 M - Additive 18-59.dx,3.05,43216787.85,
0.02 M - Additive 20-63.dx,0.723,67593108.64,
0.02 M - Additive 20-63.dx,2.141,2116909768,
0.02 M - Additive 20-63.dx,2.525,1043165609,
0.02 M - Additive 20-63.dx,2.639,18828779.09,
0.02 M - Additive 20-63.dx,3.05,43183388.01,
0.02 M - Additive 22-67.dx,0.709,63586714.64,
0.02 M - Additive 22-67.dx,2.525,1033657047,
0.02 M - Additive 22-67.dx,2.639,19815884.47,
0.02 M - Additive 22-67.dx,2.817,322050975.4,
0.02 M - Additive 22-67.dx,3.05,42774602.92,
0.02 M - Additive 23-71.dx,0.709,61788607.85,
0.02 M - Additive 23-71.dx,2.537,2076755871,
0.02 M - Additive 23-71.dx,3.05,44020115.37,
0.02 M - Additive 25-75.dx,0.709,64598934.76,
0.02 M - Additive 25-75.dx,2.524,1018100068,
0.02 M - Additive 25-75.dx,2.638,18720321.08,
0.02 M - Additive 25-75.dx,3.049,43180132.04,
0.02 M - Additive 25-75.dx,3.414,411575446.9,
0.02 M - Additive 26-79.dx,0.709,62633409.06,
0.02 M - Additive 26-79.dx,2.524,1019626894,
0.02 M - Additive 26-79.dx,2.638,17405192.73,
0.02 M - Additive 26-79.dx,2.708,1242172419,
0.02 M - Additive 26-79.dx,3.049,42935247.08,
0.02 M - Additive 27-83.dx,2.418,12291261499,
0.02 M - Additive 27-83.dx,2.524,1063038362,
0.05 M - Additive 01-06.dx,0.738,65836180.81,
0.05 M - Additive 01-06.dx,2.524,1032790238,
0.05 M - Additive 01-06.dx,2.638,18563148.76,
0.05 M - Additive 01-06.dx,3.048,43422864.69,
0.05 M - Additive 01-06.dx,3.406,994956088.7,
0.05 M - Additive 02-10.dx,2.524,1035593717,
0.05 M - Additive 02-10.dx,2.887,17309327366,
0.05 M - Additive 03-14.dx,2.524,1051343739,
0.05 M - Additive 03-14.dx,2.663,3800662259,
0.05 M - Additive 03-14.dx,2.888,136420749.5,
0.05 M - Additive 03-14.dx,3.049,36769518.87,
0.05 M - Additive 04-18.dx,1.658,10410083072,
0.05 M - Additive 04-18.dx,1.798,217519129.6,
0.05 M - Additive 04-18.dx,2.523,1037852330,
0.05 M - Additive 04-18.dx,3.049,41857886.83,
0.05 M - Additive 06-22.dx,2.479,9073488840,
0.05 M - Additive 06-22.dx,2.522,1427787805,
0.05 M - Additive 09-26.dx,0.725,92319491.49,
0.05 M - Additive 09-26.dx,1.713,8167085865,
0.05 M - Additive 09-26.dx,1.833,170904295.2,
0.05 M - Additive 09-26.dx,2.523,1045623957,
0.05 M - Additive 09-26.dx,3.049,42936135.12,
0.05 M - Additive 10-30.dx,1.713,3871971910,
0.05 M - Additive 10-30.dx,2.003,18493119816,
0.05 M - Additive 10-30.dx,2.076,958750895.7,
0.05 M - Additive 10-30.dx,2.522,1050779051,
0.05 M - Additive 11-34.dx,2.408,7345042484,
0.05 M - Additive 11-34.dx,2.522,1063383688,
0.05 M - Additive 11-34.dx,3.048,42386117.65,
0.05 M - Additive 12-38.dx,2.523,1024211604,
0.05 M - Additive 12-38.dx,3.047,35833405.38,
0.05 M - Additive 12-38.dx,3.187,7248621576,
0.05 M - Additive 12-38.dx,3.495,33244590.89,
0.05 M - Additive 13-42.dx,0.728,3605833119,
0.05 M - Additive 13-42.dx,0.752,2997925013,
0.05 M - Additive 13-42.dx,1.369,84021840.28,
0.05 M - Additive 13-42.dx,1.57,56989204.94,
0.05 M - Additive 13-42.dx,2.523,1052320670,
0.05 M - Additive 13-42.dx,3.049,42561763.28,
0.05 M - Additive 15-46.dx,0.823,8990492047,
0.05 M - Additive 15-46.dx,1.025,574246348.7,
0.05 M - Additive 15-46.dx,1.47,135320026.6,
0.05 M - Additive 15-46.dx,2.524,1041297308,
0.05 M - Additive 15-46.dx,3.049,44039403.74,
0.05 M - Additive 16-50.dx,2.077,16644994036,
0.05 M - Additive 16-50.dx,2.14,994283491,
0.05 M - Additive 16-50.dx,2.524,1033271900,
0.05 M - Additive 16-54.dx,2.078,16875105133,
0.05 M - Additive 16-54.dx,2.141,1034915766,
0.05 M - Additive 16-54.dx,2.524,1035740996,
0.05 M - Additive 18-58.dx,0.683,1282477149,
0.05 M - Additive 18-58.dx,2.524,1015619299,
0.05 M - Additive 18-58.dx,2.639,18161272.67,
0.05 M - Additive 18-58.dx,3.05,43006037.88,
0.05 M - Additive 20-62.dx,2.141,5422697518,
0.05 M - Additive 20-62.dx,2.525,1023462460,
0.05 M - Additive 20-62.dx,3.05,41821367.61,
0.05 M - Additive 22-66.dx,0.709,63342761.5,
0.05 M - Additive 22-66.dx,2.525,1025391005,
0.05 M - Additive 22-66.dx,2.639,19505023.34,
0.05 M - Additive 22-66.dx,2.817,1046198074,
0.05 M - Additive 22-66.dx,3.05,41838836.15,
0.05 M - Additive 23-70.dx,2.539,3734448706,
0.05 M - Additive 23-70.dx,3.049,43937349.38,
0.05 M - Additive 25-74.dx,0.708,64234022.6,
0.05 M - Additive 25-74.dx,2.34,16020835.41,
0.05 M - Additive 25-74.dx,2.524,1022191230,
0.05 M - Additive 25-74.dx,2.638,18754926.68,
0.05 M - Additive 25-74.dx,3.049,43003042.25,
0.05 M - Additive 25-74.dx,3.413,1127330968,
0.05 M - Additive 26-78.dx,2.524,1012463403,
0.05 M - Additive 26-78.dx,2.705,3463009009,
0.05 M - Additive 26-78.dx,3.049,42841577.04,
0.05 M - Additive 27-82.dx,2.414,22066717776,
0.05 M - Additive 27-82.dx,2.524,1158008926,
0.05 M - Additive 27-82.dx,3.2,120503803.4,
0.1 M - Additive 01-05.dx,0.707,64057963.01,
0.1 M - Additive 01-05.dx,2.522,1024479487,
0.1 M - Additive 01-05.dx,3.048,42649709.55,
0.1 M - Additive 01-05.dx,3.405,1919847433,
0.1 M - Additive 02-09.dx,2.522,1019102081,
0.1 M - Additive 02-09.dx,2.886,22963980514,
0.1 M - Additive 03-13.dx,2.522,1012328026,
0.1 M - Additive 03-13.dx,2.661,7440720954,
0.1 M - Additive 03-13.dx,2.887,288480300,
0.1 M - Additive 04-17.dx,1.646,16743225203,
0.1 M - Additive 04-17.dx,1.799,400165986.2,
0.1 M - Additive 04-17.dx,2.521,1018259791,
0.1 M - Additive 06-21.dx,2.478,15028848041,
0.1 M - Additive 09-25.dx,1.702,15108600112,
0.1 M - Additive 09-25.dx,1.833,357368639.3,
0.1 M - Additive 09-25.dx,2.522,1025018103,
0.1 M - Additive 10-29.dx,1.704,7743527985,
0.1 M - Additive 10-29.dx,2.002,25380502210,
0.1 M - Additive 10-29.dx,2.077,1960478589,
0.1 M - Additive 10-29.dx,2.521,1062997983,
0.1 M - Additive 11-33.dx,2.404,14233911202,
0.1 M - Additive 11-33.dx,2.521,1066519315,
0.1 M - Additive 12-37.dx,2.522,1003253486,
0.1 M - Additive 12-37.dx,3.182,13768106031,
0.1 M - Additive 12-37.dx,3.495,65913375.56,
0.1 M - Additive 13-41.dx,0.726,6889913229,
0.1 M - Additive 13-41.dx,0.749,5580663419,
