file,elut_time,integral,
RoboChem_Sample_001.dx,0.572,61553460.71,
RoboChem_Sample_001.dx,0.765,15008006.41,
RoboChem_Sample_001.dx,1.286,58582974.9,
RoboChem_Sample_001.dx,2.528,1357995925,
RoboChem_Sample_001.dx,2.638,23472777.54,
RoboChem_Sample_001.dx,3.046,48238948.13,
RoboChem_Sample_002.dx,0.78,1281129870,
RoboChem_Sample_002.dx,2.13,49011424.84,
RoboChem_Sample_002.dx,2.539,1341592673,
RoboChem_Sample_002.dx,3.074,2227248080,
RoboChem_Sample_002.dx,3.416,5270306458,
RoboChem_Sample_003.dx,0.828,1512879677,
RoboChem_Sample_003.dx,1.037,190488963.4,
RoboChem_Sample_003.dx,1.636,48273005.04,
RoboChem_Sample_003.dx,2.062,210264662.4,
RoboChem_Sample_003.dx,2.126,4251690137,
RoboChem_Sample_003.dx,2.185,138282544.7,
RoboChem_Sample_003.dx,2.533,1448836937,
RoboChem_Sample_003.dx,2.725,1052661342,
RoboChem_Sample_003.dx,2.81,451282258,
RoboChem_Sample_003.dx,3.069,230304007.9,
RoboChem_Sample_003.dx,3.735,53517320.29,
RoboChem_Sample_004.dx,0.676,83820095.43,
RoboChem_Sample_004.dx,0.827,1347172112,
RoboChem_Sample_004.dx,1.637,54323163.06,
RoboChem_Sample_004.dx,2.063,278845647.8,
RoboChem_Sample_004.dx,2.128,4235548118,
RoboChem_Sample_004.dx,2.186,139672071.2,
RoboChem_Sample_004.dx,2.534,1503763772,
RoboChem_Sample_004.dx,2.725,1113968705,
RoboChem_Sample_004.dx,2.81,432519843,
RoboChem_Sample_004.dx,3.069,221913363.2,
RoboChem_Sample_006.dx,0.824,1420801576,29%
RoboChem_Sample_006.dx,1.042,152978317.3,3%
RoboChem_Sample_006.dx,1.638,52308757.34,1%
RoboChem_Sample_006.dx,2.062,252136970.9,5%
RoboChem_Sample_006.dx,2.127,4858863910,100%
RoboChem_Sample_006.dx,2.186,129268147.4,3%
RoboChem_Sample_006.dx,2.533,1438983303,30%
RoboChem_Sample_006.dx,2.724,1034784046,21%
RoboChem_Sample_006.dx,2.81,395873085.7,8%
RoboChem_Sample_006.dx,3.068,294492371.3,6%
RoboChem_Sample_006.dx,3.399,1474746075,30%
RoboChem_Sample_007.dx,0.804,1404676266,
RoboChem_Sample_007.dx,1.765,12903609329,
RoboChem_Sample_007.dx,1.906,136492806.6,
RoboChem_Sample_007.dx,2.13,60032052.09,
RoboChem_Sample_007.dx,2.537,1334265556,
RoboChem_Sample_007.dx,3.071,2274003698,
RoboChem_Sample_007.dx,3.412,5861752557,
RoboChem_Sample_008.dx,0.676,78480764.75,
RoboChem_Sample_008.dx,0.832,1427886748,
RoboChem_Sample_008.dx,1.041,109117125.7,
RoboChem_Sample_008.dx,1.254,87871299.66,
RoboChem_Sample_008.dx,1.356,208193591.1,
RoboChem_Sample_008.dx,1.551,110582543.3,
RoboChem_Sample_008.dx,1.773,2727322191,
RoboChem_Sample_008.dx,1.898,69481527.06,
RoboChem_Sample_008.dx,1.956,50313082.97,
RoboChem_Sample_008.dx,2.062,128680277.4,
RoboChem_Sample_008.dx,2.096,75068742.67,
RoboChem_Sample_008.dx,2.127,389463563.3,
RoboChem_Sample_008.dx,2.186,29603631.88,
RoboChem_Sample_008.dx,2.264,38961763.8,
RoboChem_Sample_008.dx,2.533,1507415050,
RoboChem_Sample_008.dx,2.809,42406896.49,
RoboChem_Sample_008.dx,2.887,15303181.95,
RoboChem_Sample_008.dx,3.068,2157989873,
RoboChem_Sample_008.dx,3.185,101519206.8,
RoboChem_Sample_008.dx,3.274,36691090.57,
RoboChem_Sample_008.dx,3.41,3324581327,
RoboChem_Sample_009.dx,0.676,98918389.9,
RoboChem_Sample_009.dx,0.829,1315475674,
RoboChem_Sample_009.dx,1.037,102639010.6,
RoboChem_Sample_009.dx,1.251,113312378.4,
RoboChem_Sample_009.dx,1.353,217023899.9,
RoboChem_Sample_009.dx,1.549,108409680.2,
RoboChem_Sample_009.dx,1.771,3282082827,
RoboChem_Sample_009.dx,1.898,105144875.3,
RoboChem_Sample_009.dx,1.956,62078849.25,
RoboChem_Sample_009.dx,2.062,54269659.65,
RoboChem_Sample_009.dx,2.096,60201952.14,
RoboChem_Sample_009.dx,2.127,244603703,
RoboChem_Sample_009.dx,2.186,23824665.01,
RoboChem_Sample_009.dx,2.265,48379009.85,
RoboChem_Sample_009.dx,2.534,1521219055,
RoboChem_Sample_009.dx,2.81,32780494.07,
RoboChem_Sample_009.dx,3.069,2200909975,
RoboChem_Sample_009.dx,3.185,96410267.68,
RoboChem_Sample_009.dx,3.274,35690917.85,
RoboChem_Sample_009.dx,3.41,3386240474,
RoboChem_Sample_010.dx,0.823,1126726162,
RoboChem_Sample_010.dx,2.13,29818055,
RoboChem_Sample_010.dx,2.429,11652041831,
RoboChem_Sample_010.dx,2.536,1322473792,
RoboChem_Sample_010.dx,3.071,2058014528,
RoboChem_Sample_010.dx,3.411,5018418841,
