file,elut_time,integral
RoboChem_Sample_001.dx,0.572,61553460.70745206
RoboChem_Sample_001.dx,0.765,15008006.40751121
RoboChem_Sample_001.dx,1.286,58582974.90373054
RoboChem_Sample_001.dx,2.528,1357995925.0153651
RoboChem_Sample_001.dx,2.638,23472777.542432766
RoboChem_Sample_001.dx,3.046,48238948.13238414
RoboChem_Sample_002.dx,0.78,1281129870.2346518
RoboChem_Sample_002.dx,2.13,49011424.839563526
RoboChem_Sample_002.dx,2.539,1341592672.8548229
RoboChem_Sample_002.dx,3.074,2227248079.5792212
RoboChem_Sample_002.dx,3.416,5270306458.396605
RoboChem_Sample_003.dx,0.828,1512879676.9188354
RoboChem_Sample_003.dx,1.037,190488963.41610414
RoboChem_Sample_003.dx,1.636,48273005.04359382
RoboChem_Sample_003.dx,2.062,210264662.357386
RoboChem_Sample_003.dx,2.126,4251690136.5072503
RoboChem_Sample_003.dx,2.185,138282544.74668404
RoboChem_Sample_003.dx,2.533,1448836936.7270641
RoboChem_Sample_003.dx,2.725,1052661341.7074752
RoboChem_Sample_003.dx,2.81,451282257.9579269
RoboChem_Sample_003.dx,3.069,230304007.91660607
RoboChem_Sample_003.dx,3.735,53517320.28638512
RoboChem_Sample_004.dx,0.676,83820095.4252095
RoboChem_Sample_004.dx,0.827,1347172112.4083948
RoboChem_Sample_004.dx,1.637,54323163.05615629
RoboChem_Sample_004.dx,2.063,278845647.75440544
RoboChem_Sample_004.dx,2.128,4235548118.0446067
RoboChem_Sample_004.dx,2.186,139672071.17380315
RoboChem_Sample_004.dx,2.534,1503763772.4768655
RoboChem_Sample_004.dx,2.725,1113968705.034646
RoboChem_Sample_004.dx,2.81,432519842.96169186
RoboChem_Sample_004.dx,3.069,221913363.17466405
