Wavelength,Absorbance
200,354767944.5
202,371051730.5
204,388937581.0
206,405683213.0
208,418711639.5
210,427370701.0
212,433671561.0
214,438234264.0
216,444239325.5
218,453015007.0
220,464726775.5
222,475743387.5
224,485991626.0
226,494652966.0
228,498716137.0
230,500166147.0
232,498486024.0
234,495617449.0
236,492865154.5
238,490716078.0
240,491158018.5
242,493413944.5
244,495542560.5
246,499856454.5
248,504122957.5
250,506909713.0
252,508491814.0
254,508350103.5
256,508816408.0
258,508754785.0
260,505633795.5
262,502257097.0
264,497736264.5
266,495190950.5
268,495247655.5
270,495917538.5
272,499644720.5
274,505167791.0
276,503072922.0
278,497019086.0
280,480634940.0
282,420028919.0
284,324972003.0
286,237075718.0
288,166650605.5
290,113415825.0
292,73881280.5
294,47234984.0
296,29639962.0
298,18845884.5
300,12592396.0
302,9196506.0
304,7107860.0
306,5623364.5
308,4508441.5
310,3583168.5
312,2789845.5
314,2156292.5
316,1636790.5
318,1253322.0
320,960261.5
322,747388.5
324,601320.0
326,497583.0
328,426676.5
330,377272.5
332,342866.0
334,317586.0
336,298808.0
338,289038.5
340,282068.5
342,275535.5
344,270457.0
346,263556.0
348,259947.5
350,260690.0
352,261106.0
354,258554.0
356,256480.5
358,260082.5
360,261257.0
362,250555.0
364,233598.5
366,215980.0
368,198026.0
370,181150.5
372,172090.0
374,161858.5
376,151986.0
378,150364.5
380,149254.5
382,147162.5
384,142205.0
386,134035.0
388,129244.5
390,125562.0
392,123593.5
394,121938.5
396,119258.0
398,119404.5
400,117993.0
402,112599.0
404,109736.5
406,111496.0
408,111260.0
410,106133.5
412,102259.5
414,101950.5
416,99533.0
418,93812.0
420,92884.5
422,94875.0
424,96510.0
426,92664.5
428,86819.5
430,92530.0
432,96267.5
434,91655.0
436,86226.5
438,81706.0
440,83437.0
442,83753.0
444,80905.0
446,77237.5
448,75857.5
450,77762.0
452,78951.5
454,75566.0
456,70838.0
458,69412.5
460,74208.5
462,70019.0
464,65036.5
466,73932.5
468,77293.5
470,68496.0
472,64744.5
474,68142.5
476,67483.5
478,61999.5
480,61382.0
482,74631.0
484,82927.0
486,82542.0
488,77005.5
490,67264.5
492,67801.5
494,67643.0
496,61189.0
498,59099.0
500,65258.0
