Wavelength,Absorbance
200,377867413.0
202,393025674.0
204,409000180.0
206,422133717.0
208,432031115.0
210,439291696.0
212,443712105.0
214,447888258.0
216,452345821.0
218,459745499.0
220,470516748.0
222,480591754.0
224,490182252.0
226,497022432.0
228,500813876.0
230,503474927.0
232,501101443.0
234,496751695.0
236,493492986.0
238,491035302.0
240,491202107.0
242,491784812.0
244,493873027.0
246,496795638.0
248,500860066.0
250,505358162.0
252,506770419.0
254,508060827.0
256,508734039.0
258,506212554.0
260,500627028.0
262,497875194.0
264,496631544.0
266,494632565.0
268,494144111.0
270,493187236.0
272,496294320.0
274,501405962.0
276,507020878.0
278,509178179.0
280,500434545.0
282,460862645.0
284,380870272.0
286,294836927.0
288,222630143.0
290,165601203.0
292,121108953.0
294,88685323.0
296,63774960.0
298,44289707.0
300,29735755.0
302,20771768.0
304,15542754.0
306,12192495.0
308,9836296.0
310,7936419.0
312,6312650.0
314,5026326.0
316,4009269.0
318,3286105.0
320,2751601.0
322,2372210.0
324,2108462.0
326,1915936.0
328,1780372.0
330,1683699.0
332,1611826.0
334,1559449.0
336,1514271.0
338,1472096.0
340,1428066.0
342,1379585.0
344,1327202.0
346,1274129.0
348,1225244.0
350,1181641.0
352,1141598.0
354,1107014.0
356,1078051.0
358,1052868.0
360,1027199.0
362,991543.0
364,956354.0
366,922953.0
368,880584.0
370,834947.0
372,804613.0
374,779188.9999999999
376,755660.0
378,735711.0
380,716833.0
382,699414.0
384,675007.0
386,649828.0
388,632313.0
390,611926.0
392,593181.0
394,580337.0
396,566629.0
398,552606.0
400,543656.0
402,532535.0
404,518586.0
406,507661.0
408,495255.0
410,478535.0
412,464988.0
414,452546.0
416,430344.0
418,404203.0
420,379957.0
422,360319.0
424,343596.0
426,322299.0
428,303812.00000000006
430,293154.0
432,276625.0
434,256587.0
436,238047.0
438,216196.0
440,203252.0
442,192901.0
444,180289.0
446,170826.0
448,163813.0
450,154629.0
452,144390.0
454,133597.0
456,121367.0
458,114515.0
460,113088.0
462,112058.0
464,108873.0
466,109642.0
468,105967.0
470,94885.0
472,84750.0
474,75127.0
476,69646.0
478,65973.0
480,58496.0
482,47364.0
484,36247.0
486,43097.0
488,56976.0
490,58709.0
492,58416.0
494,49076.0
496,43853.0
498,37888.0
500,36520.0
