wavelength,absorbance
200.11,1652248.317841719
201.35,1518626.7446007319
202.59,1409723.0336609771
203.83,1345719.0684464027
205.07,1315815.34410467
206.32,1335642.3990441423
207.56,1374566.634268652
208.8,1386294.327582356
210.04,1355498.8827266581
211.29,1222791.7088032707
212.53,1013564.1721269303
213.77,807294.566148546
215.02,659859.0798216447
216.26,576460.3337595625
217.51,544372.7893987078
218.75,547171.3919146114
220.0,573304.3286487326
221.24,618176.3197648147
222.49,681218.3270397268
223.73,762177.7880653779
224.98,859045.5369520837
226.23,972766.143825681
227.47,1102406.9129294488
228.72,1246440.3125703991
229.97,1406488.0750157111
231.21,1577238.971505137
232.46,1768913.1941411793
233.71,1986559.759761608
234.96,2249590.8561227727
236.21,2642367.3698617904
237.46,3602018.0435978174
238.7,3995753.818190497
239.95,3997355.226358936
241.2,3998559.2014973755
242.45,3999506.0577509594
243.7,4000112.0859490363
244.95,4000691.566861483
246.2,4001020.8119115396
247.45,3101606.0585562405
248.7,2536995.9973240388
249.96,2274294.6582513503
251.21,2089659.7870108662
252.46,1948915.9306409345
253.71,1827113.4363933022
254.96,1708537.381871012
256.21,1579380.8098856276
257.47,1433543.2867796896
258.72,1272784.5247228022
259.97,1104996.4468291565
261.23,942295.3162540875
262.48,794216.772095965
263.73,666745.2828014639
264.99,561798.8714790478
266.24,479272.915719051
267.5,416850.7202162106
268.75,371614.83883885323
270.0,340237.68722292955
271.26,319390.1934018334
272.52,306013.5414114954
273.77,297687.4054203493
275.03,292623.72093675996
276.28,289513.7445784507
277.54,287437.81750226195
278.79,285565.7992656823
280.05,283308.7317016978
281.31,279783.7947806584
282.56,274476.18680940586
283.82,267081.88828619523
285.08,257830.93071432685
286.34,247113.89688765618
287.59,235133.10174879513
288.85,222198.87313838865
290.11,208224.22305019022
291.37,192988.86669397686
292.63,176681.92796985735
293.89,159265.99201882756
295.15,141405.4845646314
296.4,123815.11133017488
297.66,107186.51393540775
298.92,92017.84843073087
300.18,78749.49130073674
301.44,67455.04745011422
302.7,58144.84557420918
303.96,50685.911138829775
305.22,44684.98473810678
306.48,40005.307579420645
307.75,36369.285083662275
309.01,33421.20251390797
310.27,31128.662356323424
311.53,29274.101194433773
312.79,27719.874221070095
314.05,26434.96439687914
315.31,25224.481813569993
316.58,24139.706499959077
317.84,23097.035159785828
319.1,22159.654029208137
320.36,21160.022564268285
321.63,20215.364941532323
322.89,19261.456945582668
324.15,18330.09550892991
325.42,17385.010192550333
326.68,16362.657670909637
327.94,15498.20198213068
329.21,14581.367761611365
330.47,13570.128321109325
331.73,12587.157243520915
333.0,11738.835290757717
334.26,10930.51618262254
335.53,10062.542773012874
336.79,9226.680821271864
338.06,8534.054990204439
339.32,7759.316342232845
340.59,7057.80536845098
341.85,6409.695747582843
343.12,5852.700677545089
344.39,5203.465307780556
345.65,4711.0035242942095
346.92,4246.542825702323
348.18,3679.2215644661046
349.45,3298.067689853068
