wavelength,absorbance
200.11,1600300.5390176924
201.35,1467923.8272445255
202.59,1358122.9078490594
203.83,1264765.0566162318
205.07,1198447.4764689966
206.32,1148110.328346475
207.56,1103487.1848139924
208.8,1047433.1408762458
210.04,980121.6066031756
211.29,904700.4083839374
212.53,830516.1944663429
213.77,764927.9947905622
215.02,709102.8668123287
216.26,663878.5572056993
217.51,626569.1597787745
218.75,593176.0468914836
220.0,563295.510730236
221.24,535586.7281283623
222.49,510241.09102563275
223.73,489444.80710435455
224.98,474612.7214355952
226.23,466878.62356072484
227.47,466052.06095353345
228.72,472449.9139672729
229.97,484896.51980854647
231.21,503562.3369430287
232.46,528277.3686688787
233.71,559442.2327329945
234.96,597356.5471626982
236.21,642226.5448825333
237.46,695181.5851742572
238.7,757515.7183649899
239.95,829415.5770351929
241.2,911014.2212274143
242.45,1000763.6215320051
243.7,1097315.8393677927
244.95,1198720.1136332257
246.2,1301654.7210051392
247.45,1404777.2871813453
248.7,1505385.9711170834
249.96,1601488.9095195592
251.21,1690701.1976298431
252.46,1772766.4592760615
253.71,1843340.5019081326
254.96,1898393.098189258
256.21,1938594.3061629606
257.47,1957882.189084287
258.72,1956938.2105363666
259.97,1932890.123763285
261.23,1887510.574807446
262.48,1825512.727539807
263.73,1751902.2655190679
264.99,1668676.682285611
266.24,1581822.501891535
267.5,1494863.0816763658
268.75,1410033.4104287978
270.0,1328687.6948421516
271.26,1253005.6672961498
272.52,1183199.1455799202
273.77,1118276.5662722334
275.03,1057620.2274927206
276.28,1001306.255365725
277.54,949808.7227346299
278.79,902759.460649093
280.05,859332.188880231
281.31,819405.7659347976
282.56,782444.060453489
283.82,747530.0866932914
285.08,714404.4378008051
286.34,682179.9475801429
287.59,650775.7687846244
288.85,619416.5175063031
290.11,588347.613251656
291.37,557167.7038904178
292.63,526371.9694428889
293.89,495448.81142588967
295.15,464727.63032655214
296.4,434134.0826332712
297.66,403816.6549653598
298.92,373896.57001566736
300.18,344561.7073263469
301.44,315977.51531634567
302.7,288437.999173039
303.96,261793.9048170346
305.22,236352.7888673015
306.48,212436.31637881414
307.75,189776.04241191683
309.01,168586.0874013409
310.27,149210.21010993532
311.53,131492.1554711511
312.79,115507.69621533963
314.05,101221.21346702953
315.31,88547.34895007004
316.58,77301.99855058658
317.84,67397.72539998412
319.1,58684.65241351422
320.36,50945.80400040313
321.63,44265.53620301167
322.89,38259.98013100247
324.15,33114.59688063355
325.42,28609.92379552471
326.68,24746.87850221794
327.94,21628.027811413544
329.21,18814.321574270387
330.47,16200.685347264762
331.73,14039.402665426307
333.0,12357.384724576748
334.26,10945.694779166499
335.53,9775.838918608284
336.79,8735.430653502259
338.06,7942.0023507641445
339.32,7324.843343617491
340.59,6745.986322062364
341.85,6355.626686901857
343.12,6027.57906143647
344.39,5708.08594530502
345.65,5593.994331517031
346.92,5454.253404689406
348.18,5438.70402727367
349.45,5397.8582545780555
