wavelength,absorbance
220,32929570.901172925
221,30251595.791809924
222,27583494.818783533
223,24920838.862576447
224,22281363.59773891
225,19708573.553817563
226,17133784.992652226
227,14899457.244885486
228,12923490.142887829
229,11244676.08669167
230,9881621.35323525
231,8785643.164572146
232,8050352.479092054
233,7579730.6301938
234,7338509.315241723
235,7293871.174475303
236,7420382.117641768
237,7687797.818173384
238,8076449.919397999
239,8601397.975483036
240,9191594.24214197
241,9852788.080277443
242,10609693.603409687
243,11362795.19895376
244,12133063.595042046
245,12906321.155902734
246,13710361.519871686
247,14441107.555550737
248,15116374.461307991
249,15736769.00143304
250,16205210.952189613
251,16533867.067726329
252,16719365.25556228
253,16747056.601230377
254,16642112.627814714
255,16402371.820754118
256,16056131.942559408
257,15541650.596207984
258,14871824.327734014
259,13980749.864755994
260,12775419.005677002
261,11405935.32215776
262,9892922.952019326
263,8259552.939423117
264,6790920.935680518
265,5414517.3507355
266,4314561.486903784
267,3374841.152450751
268,2677873.0951080257
269,2141046.287210323
270,1712915.2678702392
271,1409964.8544239067
272,1172203.7687134072
273,1003608.1105555691
274,873747.5699752019
275,791465.1992523205
276,740076.1607462139
277,720335.8275712585
278,721758.1687615456
279,739967.6666709833
280,777491.0627457389
281,831512.4012566569
282,906351.1088887331
283,988356.0567304052
284,1079456.6090872665
285,1171821.3036254272
286,1260539.0290741571
287,1356108.3603871325
288,1451207.2240887282
289,1562215.4572498696
290,1680451.5845278134
291,1814786.9659950281
292,1952888.3152739324
293,2084811.330841593
294,2226306.779945166
295,2365867.8688757448
296,2519835.587307113
297,2681305.20773377
298,2841021.880367999
299,3014571.5868177637
300,3192390.346467454
301,3364620.3776391107
302,3549244.0264590266
303,3737850.2412786847
304,3921187.565265399
305,4119333.190219721
306,4323339.501541422
307,4520878.162099124
308,4731940.3530084025
309,4943063.667964861
310,5139344.120453167
311,5340671.855732033
312,5533882.297285411
313,5715959.805100579
314,5879033.932119022
315,6043127.116134687
316,6200395.094990531
317,6355045.052513783
318,6501642.782102665
319,6654386.750011071
320,6802326.859001061
321,6943237.113089812
322,7069487.300310806
323,7170448.029773673
324,7255298.917862432
325,7312530.668711312
326,7343678.79865016
327,7351605.073446637
328,7339095.067769992
329,7314560.596741344
330,7279416.584150898
331,7237481.461920207
332,7192180.172743568
333,7141932.420198252
334,7082726.745034558
335,7011635.787889741
336,6922618.924693145
337,6817724.95511215
338,6683866.592195737
339,6524498.11918556
340,6344120.075530981
341,6142039.196201463
342,5924399.40581494
343,5695746.4413279975
344,5458257.728594651
345,5219974.37781817
346,4981659.441323958
347,4745881.037698845
348,4510217.435780765
349,4272745.990937531
350,4031238.4282604125
351,3781325.2243559137
352,3525260.821317558
353,3263861.1156157977
354,2999653.057268347
355,2741386.604433037
356,2490652.1058486463
357,2256380.6676748837
358,2039418.9125099033
359,1843599.148900284
360,1657758.8255648261
361,1498295.043141251
362,1351784.7489458683
363,1229282.649922343
364,1123567.6962262427
365,1033716.7978745461
366,958868.5441203144
367,879413.6873186765
368,801636.4181892045
369,726000.4709117365
370,656454.2330416073
371,591636.3641187544
372,532571.2936779083
373,479389.10135978996
374,429868.99768234143
375,389242.0560802221
376,355135.2864035012
377,326104.40808698535
378,300362.5878549558
379,277935.3042781802
380,257547.79078241193
381,240025.92547853818
382,223899.0700814688
383,208836.76468978656
384,195424.02080251087
385,183495.10397702336
386,172726.9362293359
387,162864.95973221984
388,152848.76418952487
389,143153.53156647476
390,132631.04363688017
391,122684.49228516832
392,115433.98236491546
393,107243.08247258134
394,99458.25590544508
395,91490.68479227787
396,84210.8936312476
397,78742.23184472628
398,75475.99139936132
399,70903.35989725176
400,66776.01966603778
401,62867.28037034066
402,56988.27844939309
403,52892.17865933651
404,49256.18450441084
405,46262.186649199175
406,44709.066839781364
407,41089.96444514295
408,37920.094098562884
409,34404.11045652197
410,32440.734915647234
411,30366.283090319957
412,29879.133604908093
413,28317.045701463867
414,26200.0139499851
415,25092.60594144933
416,20960.065129989634
417,20401.976616920256
418,18034.761128627368
419,17053.773729581968
420,19155.89325289945
421,15034.053836085623
422,17400.451113529838
423,17437.263385369435
424,13695.974912567686
425,14584.332891186248
426,10357.048685764756
427,9878.744151106472
428,11950.442155058641
429,9680.031808662614
430,12119.367849285565
431,15378.695260603505
432,12726.1856405894
433,15622.290610481119
434,16368.609492128191
435,10788.324688553454
436,10183.438799814867
437,9765.902738914046
438,6065.286030756652
439,4946.8981897693375
440,5248.545011506911
441,3724.5533036203487
442,5226.357722259505
443,7080.810182093468
444,6351.315852920947
445,6683.8930189770035
446,6548.922395997179
447,5522.102213409802
448,3945.031970273383
449,3327.238663060947
450,3182.125843547263
451,729.2981982936908
452,2973.6251974964616
453,4684.51153493562
454,2545.486254759453
455,2336.9927113197627
456,7322.4203440196
457,4414.935073349261
458,3973.370303138683
459,6032.093853313592
460,3349.80273764961
461,3683.6115982999327
462,12109.651867238164
463,6559.313379469364
464,4666.384239705178
465,6973.228471289396
466,1584.2493817003924
467,1517.943969476495
468,5132.089781765862
469,8417.032734173277
470,6675.0083668392035
471,7702.2464109121065
472,14567.028929109787
473,7183.320972655063
474,1854.5024218779
475,8471.681881471173
476,5681.442749604539
477,1394.0075989934558
478,5180.61541203659
479,8923.491210556414
480,6055.29162936964
481,6953.264223838647
482,4741.289320588272
483,2015.912194827266
484,4209.795213913516
485,3044.246802126414
486,7801.950708455421
487,11043.376171936761
488,11603.944683005706
489,10435.060354273046
490,9628.875991732792
491,6287.115401039584
492,6195.053674623661
493,4882.08512897342
494,2994.782774222527
495,4250.42440547634
496,2806.1197169061707
497,3363.995200519297
498,5640.150906543175
499,8211.662835028488
500,3894.4573719977197
