wavelength,absorbance
220,146213297.49883443
221,133537360.24735336
222,121009732.8859455
223,108921893.9741113
224,97455809.49136508
225,86720889.4986895
226,76273984.969608
227,67300330.93427262
228,59308084.82672971
229,52365329.69812251
230,46520327.205076724
231,41572457.86271553
232,38014100.236981496
233,35493444.15485315
234,33922945.50170027
235,33182879.313989375
236,33248012.0135607
237,33972025.61092472
238,35281486.149522275
239,37231809.69035273
240,39559161.97460105
241,42280367.271799624
242,45509599.48347034
243,48818600.777864635
244,52293686.93691794
245,55869603.75952901
246,59694385.30479761
247,63301515.31915083
248,66795605.77397436
249,70212349.72042921
250,73009906.00948425
251,75197434.31494759
252,76714577.76822823
253,77377584.36839387
254,77344139.10675211
255,76682552.50434124
256,75537485.23177217
257,73702112.31727603
258,71129598.20131448
259,67416444.14116977
260,62026025.24018093
261,55614213.38144096
262,48340234.38580763
263,40372242.82207139
264,33161537.512689497
265,26366671.987668518
266,20905616.22336069
267,16223439.586571513
268,12742220.322032534
269,10048817.27383503
270,7890900.338646522
271,6353313.18952588
272,5135723.232967313
273,4276332.330184112
274,3621591.6747223046
275,3199397.5025044894
276,2917826.4169318466
277,2775052.931755078
278,2722021.133790965
279,2742973.855532588
280,2822705.7120255353
281,2941276.1421100283
282,3104354.725627525
283,3288901.8715152396
284,3513540.5207999693
285,3768280.6486635366
286,4036694.931352182
287,4348659.771250179
288,4670598.085705907
289,5037592.2385933455
290,5411749.04652761
291,5834952.366755597
292,6290184.412136469
293,6755906.631585899
294,7282419.721835594
295,7809069.434788873
296,8390187.670905434
297,8996239.43965096
298,9595923.518329706
299,10254778.464316623
300,10937877.819438778
301,11606827.312033769
302,12333030.361094575
303,13079333.208092127
304,13806257.976087844
305,14594221.455636013
306,15403789.063864686
307,16190386.697728934
308,17037512.495997857
309,17895864.916255154
310,18711060.51471302
311,19561748.401282135
312,20392923.747820344
313,21196757.324198373
314,21929256.22617667
315,22673159.200635668
316,23392375.98014647
317,24094162.848526947
318,24749082.4365194
319,25432152.330335263
320,26102246.732899457
321,26746550.087088704
322,27350677.71632219
323,27869571.852130674
324,28341258.78308172
325,28722345.171378218
326,29005194.518743794
327,29190075.047049783
328,29286824.08660362
329,29310155.143345457
330,29278206.205420297
331,29203375.524516348
332,29094593.968796633
333,28955300.37555875
334,28781983.125565782
335,28563508.378081817
336,28288617.505072054
337,27962036.71697732
338,27532826.655278984
339,27005925.43029907
340,26375105.257661
341,25638144.61528422
342,24806115.048676472
343,23903487.25569474
344,22949720.97323372
345,21965971.489689343
346,20967155.9903845
347,19963520.165194333
348,18958664.72159222
349,17950019.083713196
350,16933812.343173444
351,15906121.1645998
352,14864032.109354666
353,13808594.61608516
354,12746209.216222089
355,11688501.153964745
356,10651118.061488723
357,9649604.663190199
358,8697128.0293739
