Wavelength,Absorbance
200,8816494.5
202,8160115.0
204,7635938.0
206,7348893.0
208,7206439.5
210,7092491.0
212,6936347.0
214,6692251.0
216,6350826.5
218,5964501.0
220,5653734.0
222,5497581.5
224,5436256.5
226,5400976.0
228,5364015.0
230,5319067.0
232,5265198.0
234,5206605.5
236,5136416.5
238,5060870.0
240,4981731.0
242,4901038.0
244,4826661.0
246,4752295.0
248,4672133.5
250,4572884.0
252,4450659.5
254,4298648.5
256,4101907.0
258,3857436.5
260,3567459.5
262,3262586.0
264,2949111.5
266,2646533.0
268,2355537.0
270,2086627.0
272,1837257.5
274,1585093.0
276,1322899.0
278,1080726.0
280,871850.0
282,689066.5
284,529922.5
286,401688.5
288,307827.5
290,243163.0
292,198052.0
294,167164.5
296,144252.5
298,125216.0
300,109902.0
302,96765.0
304,83360.0
306,73178.0
308,65464.0
310,59714.0
312,54259.5
314,50800.5
316,48894.0
318,44988.0
320,39989.0
322,35865.0
324,33949.0
326,32002.0
328,27790.0
330,24287.5
332,21542.5
334,19658.5
336,18450.0
338,19912.5
340,22155.0
342,21051.0
344,19595.5
346,20483.0
348,21327.5
350,17951.5
352,15537.5
354,17620.0
356,16936.0
358,15376.5
360,19808.0
362,20089.0
364,17346.0
366,14296.0
368,11433.5
370,9793.0
372,7794.0
374,2068.0
376,-1584.5
378,182.5
380,4921.5
382,6826.0
384,8245.0
386,10563.0
388,7964.0
390,2979.0
392,-296.0
394,2086.0
396,7249.0
398,7787.0
400,9950.0
402,8737.5
404,5212.5
406,7456.5
408,8022.5
410,7094.5
412,6453.5
414,9218.0
416,11522.0
418,9773.5
420,8802.5
422,9468.0
424,11101.0
426,8186.0
428,8055.0
430,7714.5
432,1062.0
434,2945.0
436,5582.5
438,3904.0
440,6050.0
442,7327.0
444,5787.5
446,8421.5
448,7727.0
450,1790.5
452,2932.0
454,5188.0
456,6345.5
458,11863.5
460,10494.0
462,527.5
464,-1897.0
466,4557.5
468,9431.5
470,7050.0
472,5027.0
474,12290.0
476,13944.0
478,10050.5
480,11733.0
482,5640.5
484,23947.0
486,45057.5
488,36422.5
490,14311.5
492,7275.0
494,6133.0
496,6677.5
498,10673.0
500,17401.5
