Wavelength,Absorbance
200,314960163.5
202,314667624.0
204,314359311.5
206,311673763.0
208,306058338.5
210,297701139.0
212,286345929.5
214,271609486.0
216,253164516.0
218,225937508.5
220,187095020.0
222,147364683.5
224,113458967.0
226,86220667.0
228,65912220.5
230,50210137.5
232,37756875.5
234,28519872.0
236,21477859.5
238,16616297.5
240,13279084.0
242,11249457.0
244,10204225.0
246,9797523.5
248,9875516.0
250,10259253.5
252,10712768.0
254,11185158.5
256,11791043.0
258,12300699.5
260,12455234.0
262,12417905.5
264,12335237.0
266,12047283.0
268,11534185.5
270,11066798.0
272,10887812.0
274,10992789.0
276,11214116.0
278,11423894.5
280,11553495.5
282,11565819.0
284,11446139.5
286,11190520.5
288,10798813.5
290,10276647.0
292,9622980.0
294,8894042.5
296,8090387.5
298,7236899.0
300,6338252.0
302,5471190.0
304,4640385.0
306,3846899.0
308,3147455.0
310,2529818.5
312,1987148.5
314,1548452.5
316,1185772.5
318,910602.5
320,692593.5
322,531533.5
324,420170.0
326,341671.0
328,291728.0
330,260724.5
332,240180.5
334,227480.5
336,219742.5
338,214805.0
340,210905.0
342,208606.5
344,206074.0
346,205202.5
348,206574.0
350,206730.5
352,207708.0
354,208580.5
356,212707.0
358,217093.5
360,220138.5
362,224260.0
364,223506.0
366,218044.0
368,216743.5
370,217280.0
372,218914.5
374,221807.5
376,221950.5
378,219639.5
380,217756.5
382,220198.0
384,221063.0
386,220445.0
388,219843.0
390,219992.5
392,218903.5
394,216170.0
396,214116.5
398,212276.5
400,213000.0
402,213345.5
404,211327.0
406,208673.0
408,207088.0
410,206553.5
412,203966.5
414,201804.0
416,203009.5
418,205675.0
420,204131.0
422,201084.5
424,199094.5
426,200069.0
428,196840.0
430,193216.5
432,199733.5
434,199381.0
436,200808.0
438,207426.5
440,204289.0
442,201500.5
444,197945.5
446,195455.5
448,200880.0
450,206120.5
452,203693.0
454,201874.5
456,201771.0
458,209105.5
460,214380.5
462,205452.0
464,197864.0
466,202966.0
468,210833.5
470,206269.5
472,196465.5
474,201804.0
476,211168.0
478,206032.0
480,202730.5
482,222575.0
484,223975.5
486,200598.0
488,188814.5
490,200769.0
492,202728.0
494,201386.0
496,197643.0
498,198330.5
500,199896.5
