Wavelength,Absorbance
200,57788709.0
202,56022325.0
204,54363554.0
206,52787694.0
208,51136037.0
210,49289503.0
212,46940275.0
214,43751461.0
216,40278062.0
218,37136817.0
220,34572409.0
222,32705415.0
224,31385663.0
226,30512404.0
228,30058416.0
230,29975517.0
232,30306589.0
234,31060148.0
236,32258954.0
238,33766020.0
240,35547591.0
242,37442948.0
244,39269843.0
246,40969836.0
248,42325556.0
250,43355228.0
252,44011234.0
254,44275551.0
256,44116479.0
258,43514123.0
260,42515515.0
262,41237938.0
264,39726400.0
266,38184876.0
268,36764003.0
270,35451595.0
272,34059379.0
274,32437138.0
276,30682091.0
278,29034410.0
280,27646178.0
282,26516033.0
284,25554356.0
286,24673453.0
288,23838828.0
290,23064004.0
292,22360522.0
294,21757613.0
296,21173439.0
298,20536395.0
300,19807232.0
302,19072808.0
304,18363556.0
306,17624696.0
308,16753600.0
310,15582008.0
312,14095489.0
314,12595321.0
316,11255798.0
318,10256465.0
320,9510822.0
322,8968961.0
324,8570104.0
326,8247896.0
328,7985995.000000001
330,7769084.0
332,7566668.0
334,7365141.0
336,7151340.0
338,6923651.0
340,6664347.0
342,6382595.0
344,6091612.0
346,5807525.0
348,5547153.0
350,5318395.0
352,5117910.0
354,4943887.0
356,4785817.0
358,4636485.0
360,4489470.0
362,4337898.0
364,4197631.0
366,4083577.0
368,3972712.0
370,3860788.0
372,3766027.0
374,3682754.0
376,3612235.0
378,3544529.0
380,3469055.0
382,3387088.0
384,3292552.0
386,3198259.0
388,3107757.0
390,3011169.0
392,2921252.0
394,2831738.0
396,2740562.0
398,2658851.0
400,2579326.0
402,2490780.0
404,2401727.0
406,2318278.0
408,2225876.0
410,2124084.0
412,2024239.0
414,1922170.0
416,1805315.0
418,1678134.0
420,1555433.0
422,1453758.0
424,1356521.0
426,1255520.0
428,1164265.0
430,1094177.0
432,1021201.0
434,933887.0
436,850647.0
438,772448.0
440,708212.0
442,650385.0
444,596782.0
446,545929.0
448,501399.0
450,460979.0
452,424391.0
454,392681.0
456,371866.0
458,353306.0
460,329486.0
462,295866.0
464,262411.0
466,238987.0
468,205257.0
470,157227.0
472,119417.0
474,98245.0
476,79871.0
478,63013.0
480,48998.0
482,43567.0
484,46522.0
486,48319.0
488,35956.0
490,7041.0
492,-8094.0
494,-20710.0
496,-33757.0
498,-41953.0
500,-40349.0
