Wavelength,Absorbance
200,40593503.0
202,43737343.0
204,46453706.0
206,48400573.0
208,49813353.0
210,50895910.0
212,51673310.0
214,51959721.0
216,51476092.0
218,50116841.0
220,47879228.0
222,45075010.0
224,41858136.0
226,38294866.0
228,34714500.0
230,31151438.0
232,27634170.0
234,24484538.0
236,21690478.0
238,19548163.0
240,18025869.0
242,17195069.0
244,16963982.0
246,17165020.0
248,17636391.0
250,18269123.0
252,18927928.0
254,19472853.0
256,19809270.0
258,19821086.0
260,19466726.0
262,18793006.0
264,17830844.0
266,16683645.0
268,15446506.0
270,14206396.0
272,13023120.0
274,11928542.0
276,10940387.0
278,10066043.0
280,9296243.0
282,8612094.0
284,7990866.0
286,7410556.0
288,6855002.0
290,6314495.0
292,5767620.0
294,5240032.0
296,4715635.0
298,4197519.0
300,3678313.0
302,3193934.0
304,2740855.0
306,2317043.0
308,1949231.0
310,1629995.0
312,1352731.0
314,1128290.0
316,941059.0
318,797640.0
320,678258.0
322,580707.0
324,504082.0
326,442144.0
328,393777.0
330,356601.0
332,326973.0
334,304890.0
336,289016.0
338,276408.0
340,265473.0
342,259411.99999999997
344,256159.0
346,255112.0
348,255452.0
350,257995.99999999997
352,260612.00000000003
354,265680.0
356,272583.0
358,279127.0
360,284903.0
362,290721.0
364,296367.0
366,295645.0
368,293487.0
370,295266.0
372,302892.0
374,311229.0
376,311512.0
378,310832.0
380,311573.0
382,313346.0
384,312882.0
386,313698.0
388,313409.0
390,310421.0
392,307322.0
394,303795.0
396,301115.0
398,298256.0
400,295991.0
402,293383.0
404,290431.0
406,285596.0
408,282311.0
410,280698.0
412,276827.0
414,272805.0
416,271290.0
418,272354.0
420,270543.0
422,265009.0
424,260079.0
426,258378.0
428,254647.0
430,254323.0
432,254227.0
434,245647.0
436,247311.0
438,252230.0
440,250157.0
442,249052.0
444,244702.0
446,237675.0
448,237930.0
450,239673.0
452,237627.0
454,237657.0
456,233485.0
458,234435.0
460,239631.0
462,232911.0
464,221075.0
466,220140.0
468,230814.0
470,229486.0
472,213157.0
474,214417.0
476,223982.0
478,218644.0
480,216317.0
482,243978.0
484,234871.0
486,200565.0
488,195892.0
490,217774.0
492,214071.0
494,211074.0
496,210987.0
498,209438.0
500,210751.0
