Wavelength,Absorbance
200,322457356.0
202,324225970.0
204,326276829.0
206,319774810.0
208,284609719.0
210,224516499.0
212,169061215.0
214,130840300.0
216,112910353.0
218,110116171.0
220,117759760.0
222,131718302.0
224,150252772.0
226,173271508.0
228,199145628.0
230,228067705.0
232,260363704.0
234,293220798.0
236,326743921.0
238,356539642.0
240,381777010.0
242,399839432.0
244,408643080.0
246,407266427.0
248,393868394.0
250,367186714.0
252,328308918.0
254,282593966.0
256,232878260.0
258,185384613.0
260,143643727.0
262,110409635.0
264,84450270.0
266,66348534.0
268,54951920.0
270,48586750.0
272,45495072.0
274,44209935.0
276,43711986.0
278,43338813.0
280,42626387.0
282,41274359.0
284,39220535.0
286,36602472.0
288,33554515.0
290,30091974.0
292,26091103.0
294,21901122.0
296,17741585.0
298,13986658.0
300,10826660.0
302,8508445.0
304,6869645.0
306,5740017.0
308,5014039.0
310,4524204.0
312,4166143.0
314,3892931.0
316,3651917.0
318,3437544.0
320,3223275.0
322,3007212.0
324,2796059.0
326,2580037.0
328,2366191.0
330,2161303.0
332,1955080.0
334,1757328.0
336,1570748.0
338,1399683.0
340,1236917.0
342,1090221.0
344,956637.0
346,839275.0
348,736345.0
350,646384.0
352,569371.0
354,505250.0
356,456042.0
358,414830.0
360,380662.0
362,352571.0
364,328946.0
366,305612.0
368,284188.0
370,268053.0
372,259172.00000000003
374,254082.0
376,247889.0
378,242781.0
380,239413.0
382,239950.0
384,239024.0
386,239684.0
388,240934.0
390,238787.0
392,237175.0
394,234592.0
396,231259.0
398,228266.0
400,227122.0
402,226904.0
404,225830.0
406,222476.0
408,218988.0
410,219712.0
412,218702.0
414,215593.0
416,214944.0
418,216822.0
420,217661.0
422,214316.0
424,210694.0
426,210234.0
428,207820.0
430,209444.0
432,211844.0
434,204744.0
436,208133.0
438,212890.0
440,211601.0
442,212911.0
444,210436.0
446,205121.0
448,206178.0
450,210972.0
452,209176.0
454,207878.0
456,205973.0
458,210526.0
460,219287.0
462,214678.0
464,203298.0
466,206014.0
468,221222.0
470,220887.0
472,202360.0
474,200577.0
476,213695.0
478,212485.0
480,205010.0
482,229247.0
484,213988.0
486,180130.0
488,184978.0
490,212059.0
492,212221.0
494,210564.0
496,212827.0
498,207617.0
500,206695.0
