Wavelength,Absorbance
200,99499043.33333333
202,58975479.66666666
204,34686423.66666667
206,23906618.66666667
208,20372821.0
210,20404122.66666667
212,22601405.0
214,26924276.66666667
216,32951642.33333333
218,40159158.66666667
220,47906396.33333334
222,54887420.66666667
224,60617713.99999999
226,64719941.66666667
228,66571640.666666664
230,65993150.0
232,62841667.33333334
234,57611769.33333334
236,50231604.0
238,41324244.666666664
240,31425743.333333332
242,22407105.666666664
244,15597640.333333334
246,10834309.0
248,7952784.666666666
250,6196004.666666667
252,5185282.666666667
254,4619027.333333333
256,4301548.0
258,4165100.0
260,4175221.666666667
262,4311448.333333333
264,4538925.333333333
266,4792973.333333333
268,5053911.666666667
270,5316197.333333333
272,5464477.333333333
274,5354502.666666667
276,5051025.666666666
278,4737216.0
280,4349634.333333334
282,3659041.3333333335
284,2673542.666666667
286,1682512.6666666665
288,940667.6666666667
290,497410.3333333333
292,265717.6666666667
294,159651.3333333333
296,109911.66666666666
298,83678.33333333334
300,70851.66666666666
302,63694.666666666664
304,58326.0
306,52998.666666666664
308,48241.00000000001
310,46176.66666666667
312,43503.33333333334
314,43030.66666666667
316,44180.0
318,43858.66666666667
320,40782.0
322,37626.33333333333
324,34087.0
326,31411.333333333343
328,29830.0
330,28674.66666666667
332,26538.333333333343
334,23965.333333333343
336,23756.33333333333
338,24325.33333333333
340,26413.333333333343
342,26611.666666666657
344,24927.0
346,28078.666666666657
348,30661.333333333343
350,28749.66666666667
352,25513.0
354,26407.0
356,31418.66666666667
358,34276.66666666666
360,35370.66666666667
362,32977.33333333333
364,25111.000000000015
366,20526.0
368,19633.666666666657
370,13433.0
372,10945.333333333328
374,8945.333333333328
376,1251.0
378,1168.3333333333285
380,6311.0
382,5774.0
384,5419.6666666666715
386,6557.0
388,1083.6666666666715
390,-1979.6666666666715
392,120.0
394,1824.0
396,4190.3333333333285
398,3485.666666666657
400,5447.3333333333285
402,7802.666666666657
404,5072.3333333333285
406,6859.333333333343
408,3347.0
410,-1213.666666666657
412,-734.6666666666715
414,4097.6666666666715
416,9673.666666666672
418,5992.3333333333285
420,2250.3333333333285
422,3809.0
424,6840.0
426,6910.666666666657
428,8204.666666666657
430,7108.333333333343
432,3179.6666666666715
434,7152.3333333333285
436,12514.0
438,11204.0
440,9362.666666666672
442,9801.0
444,10031.0
446,9530.333333333343
448,11527.333333333328
450,13763.0
452,9077.0
454,2630.0
456,7224.6666666666715
458,14074.666666666657
460,8898.666666666672
462,1804.6666666666715
464,1434.333333333343
466,8104.333333333343
468,8121.6666666666715
470,1204.0
472,7931.6666666666715
474,14614.666666666657
476,15388.0
478,10908.666666666657
480,8115.0
482,18011.333333333332
484,18074.0
486,442.0
488,-3035.666666666657
490,7900.666666666657
492,-465.66666666665697
494,-595.0
496,3584.0
498,9796.333333333328
500,11063.333333333343
